tqq,tss,nooverlap
t7378c9,t4083c0,0
t7378c9,t4088c0,0
t7378c9,t4101c0,0
t7378c9,t4128c3,0
t7378c9,t4145c0,0
t7378c9,t4149c1,0
t7378c9,t4160c1,0
t7378c9,t4162c1,0
t7378c9,t4269c3,0
t7378c9,t4274c0,0
t7378c9,t4283c6,0
t7378c9,t4193c2,0
t7378c9,t4200c1,0
t7378c9,t4252c2,0
t7378c9,t4261c1,0
t7378c9,t4290c1,0
t7378c9,t4292c1,0
t7378c9,t4319c1,0
t7378c9,t4332c5,0
t7378c9,t4352c0,0
t7378c9,t4356c1,0
t7378c9,t4363c1,0
t7378c9,t4363c2,0
t7378c9,t4391c0,0
t7378c9,t4469c0,0
t7378c9,t4483c2,0
t7378c9,t4487c0,0
t7378c9,t4488c0,0
t7378c9,t4406c3,0
t7378c9,t4407c0,0
t7378c9,t4418c1,0
t7378c9,t4455c0,0
t7378c9,t4463c1,0
t7378c9,t4531c1,0
t7378c9,t4535c8,0
t7378c9,t4551c1,0
t7378c9,t4557c0,0
t7378c9,t4558c1,0
t7378c9,t4603c1,0
t7378c9,t4606c2,0
t7378c9,t4627c1,0
t7378c9,t4656c1,0
t7378c9,t4664c1,0
t7378c9,t4665c1,0
t7378c9,t4674c1,0
t7378c9,t4694c0,0
t7378c9,t4708c0,0
t7378c9,t4714c4,0
t7378c9,t4758c4,0
t7378c9,t4765c1,0
t7378c9,t4769c0,0
t7378c9,t4783c1,0
t7378c9,t4798c1,0
t7378c9,t4799c0,0
t7378c9,t4889c1,0
t7378c9,t4944c1,0
t7378c9,t4855c1,0
t7378c9,t4858c0,0
t7378c9,t4875c1,0
t7378c9,t4893c0,0
t7378c9,t4900c4,0
t7378c9,t4901c1,0
t7378c9,t4927c0,0
t7378c9,t4928c1,0
t7378c9,t4961c1,0
t7378c9,t4964c0,0
t7378c9,t4967c1,0
t7378c9,t4990c0,0
t7378c9,t4990c1,0
t7378c9,t4999c0,0
t7378c9,t5001c1,0
t7378c9,t5018c1,0
t7378c9,t5057c0,0
t7378c9,t5069c9,0
t7378c9,t5075c0,0
t7378c9,t5078c0,0
t7378c9,t5116c0,0
t7378c9,t5130c0,0
t7378c9,t5144c0,0
t7378c9,t5168c2,0
t7378c9,t5174c6,0
t7378c9,t5192c0,0
t7378c9,t5229c1,0
t7378c9,t5270c1,0
t7378c9,t5277c0,0
t7378c9,t5278c0,0
t7378c9,t5287c0,0
t7378c9,t5301c1,0
t7378c9,t5334c0,0
t7378c9,t5353c1,0
t7378c9,t5355c5,0
t7378c9,t5412c4,0
t7378c9,t5460c0,0
t7378c9,t5477c0,0
t7378c9,t5508c0,0
t7378c9,t5562c0,0
t7378c9,t5569c0,0
t7378c9,t5573c1,0
t7378c9,t5585c5,0
t7378c9,t5586c0,0
t7378c9,t5587c1,0
t7378c9,t5610c0,0
t7378c9,t5625c0,0
t7378c9,t5639c4,0
t7378c9,t5660c2,0
t7378c9,t5695c1,0
t7378c9,t5698c1,0
t7378c9,t5706c0,0
t7378c9,t5722c0,0
t7378c9,t5726c1,0
t7378c9,t5726c2,0
t7378c9,t5729c0,0
t7378c9,t5733c0,0
t7378c9,t5760c1,0
t7378c9,t5774c1,0
t7378c9,t5775c0,0
t7378c9,t5781c1,0
t7378c9,t5785c0,0
t7378c9,t5786c0,0
t7378c9,t5791c1,0
t7378c9,t5812c2,0
t7378c9,t5826c0,0
