tqq,tss,nooverlap
t9136c4,t6462c1,33
t9136c4,t6500c5,37
t9136c4,t6512c2,56
t9136c4,t6554c5,37
t9136c4,t6565c11,61
t9136c4,t6565c17,55
t9136c4,t6566c3,58
t9136c4,t6623c7,32
t9136c4,t6658c9,64
t9136c4,t6658c11,53
t9136c4,t6658c22,63
t9136c4,t6658c26,75
t9136c4,t6658c44,67
t9136c4,t6658c70,63
t9136c4,t6658c71,59
t9136c4,t6658c107,75
t9136c4,t6719c4,30
t9136c4,t6741c5,37
t9136c4,t6749c7,32
t9136c4,t6782c5,11
t9136c4,t6792c10,60
t9136c4,t6807c4,62
t9136c4,t6811c2,80
t9136c4,t6819c3,60
t9136c4,t6833c3,55
t9136c4,t7025c1,55
t9136c4,t6855c3,62
t9136c4,t6917c2,55
t9136c4,t6966c8,66
t9136c4,t6966c10,67
t9136c4,t6966c19,59
t9136c4,t6973c3,55
t9136c4,t7075c4,21
t9136c4,t7083c5,33
t9136c4,t7097c9,67
t9136c4,t7097c10,60
t9136c4,t7127c4,60
t9136c4,t7128c1,29
t9136c4,t7143c1,50
t9136c4,t7169c5,51
t9136c4,t7196c4,69
t9136c4,t7196c6,59
t9136c4,t7224c0,69
t9136c4,t7266c3,62
t9136c4,t7322c7,50
t9136c4,t7322c8,75
t9136c4,t7369c2,61
t9136c4,t7374c3,41
t9136c4,t7402c5,37
t9136c4,t7465c4,36
t9136c4,t7468c1,37
t9136c4,t7468c2,19
t9136c4,t7485c1,61
t9136c4,t7539c5,55
t9136c4,t7539c6,60
t9136c4,t7549c3,62
t9136c4,t7605c1,51
t9136c4,t7661c5,29
t9136c4,t7770c3,62
t9136c4,t7776c0,59
t9136c4,t7687c5,33
t9136c4,t7690c15,27
t9136c4,t7720c5,55
t9136c4,t7720c6,60
t9136c4,t7724c1,35
t9136c4,t7744c5,46
t9136c4,t7794c6,40
t9136c4,t7803c2,46
t9136c4,t7803c5,67
t9136c4,t7812c0,58
t9136c4,t7812c8,24
t9136c4,t7815c0,57
t9136c4,t7851c2,64
t9136c4,t7859c1,58
t9136c4,t7862c5,37
t9136c4,t7882c3,9
t9136c4,t7928c5,33
t9136c4,t7979c2,64
t9136c4,t7999c3,24
t9136c4,t8026c3,62
t9136c4,t8140c5,33
t9136c4,t8145c0,69
t9136c4,t8149c4,59
t9136c4,t8159c4,73
t9136c4,t8197c7,32
t9136c4,t8227c5,50
t9136c4,t8227c6,75
t9136c4,t8264c5,56
t9136c4,t8276c3,10
t9136c4,t8328c0,3
